no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,total_asset_value
2,0,0,9600000,29900000,12,778,0,50700000
0,1,1,4100000,12200000,8,417,1,17000000
3,0,0,9100000,29700000,20,506,1,57700000
3,0,0,8200000,30700000,8,467,1,52700000
5,1,1,9800000,24200000,20,382,1,55000000
0,0,1,4800000,13500000,10,319,1,33900000
5,0,0,8700000,33000000,4,678,0,70800000
2,0,1,5700000,15000000,20,382,1,36700000
0,0,1,800000,2200000,20,782,0,5500000
5,1,0,1100000,4300000,10,388,1,9500000
4,0,1,2900000,11200000,2,547,0,25400000
2,1,1,6700000,22700000,18,538,1,47900000
3,1,1,5000000,11600000,16,311,1,34900000
2,0,1,9100000,31500000,14,679,0,53300000
1,1,0,1900000,7400000,6,469,1,10900000
5,1,0,4700000,10700000,10,794,0,30400000
2,0,1,500000,1600000,4,663,0,3400000
4,1,1,2900000,9400000,14,780,0,16700000
2,0,0,2700000,10300000,10,736,0,10500000
5,0,0,6300000,14600000,12,652,0,43200000
2,0,0,5000000,19400000,12,315,1,35200000
4,0,0,5800000,14000000,16,530,1,42700000
4,0,1,6500000,25700000,18,311,1,42800000
0,1,1,500000,1400000,2,551,0,2900000
0,1,0,4900000,9800000,16,324,1,25800000
5,1,0,3100000,9500000,20,514,1,20200000
4,0,0,8200000,28100000,12,696,0,54600000
4,1,1,2400000,5600000,4,662,0,16600000
5,1,1,7000000,24000000,6,336,1,51400000
3,1,1,9000000,31500000,10,850,0,75900000
2,1,0,9800000,25300000,12,313,1,60200000
2,0,0,5700000,12000000,6,363,1,37000000
1,1,1,800000,1600000,10,436,1,4100000
5,1,1,8400000,22000000,2,830,0,33000000
3,0,0,4900000,11900000,8,612,0,35700000
2,0,1,1700000,3400000,8,691,0,12400000
3,1,0,1600000,6200000,18,636,0,10800000
5,0,1,8000000,27200000,6,348,1,30500000
5,0,0,3600000,7700000,16,830,0,21200000
3,1,1,1500000,5100000,6,352,1,6800000
1,0,0,7800000,18100000,2,712,0,50500000
2,1,0,9100000,24900000,16,822,0,70600000
3,0,0,1400000,3400000,6,540,1,6400000
2,0,1,800000,2300000,12,342,1,6100000
5,0,0,6500000,13400000,18,787,0,40100000
4,0,0,8000000,27800000,16,331,1,51600000
3,1,1,4200000,14600000,6,679,0,22900000
1,0,1,4900000,19100000,14,677,0,38700000
3,1,0,5500000,20500000,12,634,0,36100000
1,1,1,9500000,19100000,16,662,0,60000000
4,0,0,7300000,25400000,16,502,1,33300000
2,0,0,8700000,24700000,10,435,1,43400000
5,1,0,3800000,7600000,4,689,0,21500000
1,1,1,8400000,23000000,12,657,0,70300000
2,0,1,5100000,19700000,20,590,0,39500000
5,1,0,6700000,24500000,12,818,0,29300000
2,1,0,4300000,10600000,18,431,1,18100000
5,0,1,9300000,30500000,18,841,0,72900000
1,0,0,7400000,18400000,20,421,1,49200000
2,1,0,8500000,18900000,18,478,1,77400000
3,1,1,9600000,30500000,18,669,0,42400000
5,1,1,8800000,28900000,6,365,1,65100000
3,1,1,3300000,7500000,20,586,0,20600000
4,0,1,3900000,12300000,18,784,0,30400000
1,0,0,4100000,10300000,12,364,1,33300000
3,1,0,8300000,29100000,10,715,0,54000000
0,1,1,2700000,10100000,20,693,1,9200000
4,0,0,5600000,12400000,4,777,0,25900000
0,0,0,1900000,5000000,12,312,1,14100000
4,1,1,500000,1500000,20,340,1,2800000
5,0,1,5300000,18600000,4,386,0,28500000
5,1,0,7000000,18300000,4,418,1,59200000
3,1,1,5800000,16700000,16,735,0,31500000
2,1,0,2600000,8400000,6,494,1,17900000
2,1,0,1900000,6500000,18,671,0,9000000
4,0,0,5700000,14800000,16,697,0,41300000
0,0,0,9000000,33500000,8,801,0,67000000
2,1,0,8500000,29400000,12,576,0,57400000
0,1,0,700000,1400000,14,639,0,5900000
4,0,0,3500000,8900000,4,470,1,17800000
0,1,0,8800000,31200000,4,826,0,45300000
2,1,1,9900000,21200000,16,363,1,70300000
3,0,0,3600000,8600000,20,613,0,23300000
3,1,1,3000000,8200000,16,713,0,25500000
2,0,0,6800000,21200000,16,439,1,48700000
5,1,1,1100000,3800000,18,387,1,7900000
1,1,1,8700000,28300000,8,402,1,72100000
4,0,1,2000000,8000000,6,837,0,14500000
2,1,0,9800000,37600000,10,641,0,55100000
4,0,0,5700000,21100000,18,489,1,23300000
4,0,0,8800000,20700000,18,540,1,57500000
